id;amount;from_date;to_date
1;34099;2020-10-03T20:24:28;2020-10-03T18:29:13
2;86063;2020-10-03T12:56:23;2020-10-03T04:45:42
3;95596;2020-10-03T10:16:09;2020-10-03T09:38:44
4;20337;2020-10-03T06:41:55;2020-10-03T09:19:46
5;34186;2020-10-03T16:03:15;2020-10-03T19:10:07
6;91378;2020-10-03T05:32:46;2020-10-03T14:54:14
7;61627;2020-10-03T12:13:18;2020-10-03T07:30:08
8;4612;2020-10-03T21:38:21;2020-10-03T12:13:28
9;28517;2020-10-03T00:09:08;2020-10-03T06:39:22
10;51890;2020-10-03T12:36:49;2020-10-03T12:39:00
